QUAN_ACERTOS;MÍNIMO;MÉDIA;MÁXIMO;QUANTIDADE
0;0;21,98;328,4;5066
1;328,4;336,18;353,3;688
2;328,4;341,5;376,9;1472
3;328,5;346,75;399,1;4322
4;328,7;353,05;429,4;11323
5;329;361,36;449,2;24621
6;329,4;370,57;471,4;45925
7;329,6;381,14;486,8;73876
8;330,4;392,95;498,5;105679
9;331;406,31;514,3;135953
10;332,4;421,48;520,9;159350
11;332,1;437,79;535,6;175123
12;333,4;455,14;544,7;182628
13;334,7;472,69;554,4;179784
14;340,8;490,03;563,2;171240
15;339,5;506,96;576,1;159715
16;349,8;522,73;587,8;145280
17;353;537,64;600,1;130238
18;362,6;551,23;605,6;115939
19;382,8;564,08;613,3;102726
20;416,3;575,85;624,4;89889
21;459,9;586,64;631,1;79119
22;438,2;596,52;633,9;69986
23;498,6;605,61;640,5;61556
24;529,3;613,99;647,6;55091
25;554,4;621,92;653,3;48274
26;568,8;629,45;659,6;43156
27;580,6;636,6;665,4;38506
28;589,7;643,62;668,8;34873
29;602,2;650,85;680,4;31073
30;615,9;658,08;686,7;27784
31;622,6;665,5;694,6;25042
32;628,4;673,25;700;22536
33;635,5;681,18;706,5;19737
34;646,2;689,54;718,4;17555
35;653,8;698,35;725;15673
36;660;707,53;731,9;13189
37;675,1;717,49;744;11060
38;684,6;728,15;756,2;8994
39;696,1;739,98;767,4;7050
40;706,7;752,75;783,6;4849
41;725,2;767,66;794,3;3187
42;739;785,76;809;1821
43;766,2;807,18;823,4;727
44;798;834,7;844;262
45;862,6;862,6;862,6;20
